Ticker symbol,Security,GICS Sector,Address of Headquarters,City,State,state_abv,lat,lon
NOC,Northrop Grumman Corp.,Industrials,"West Falls Church, Virginia",West Falls Church,Virginia,VA,38.8656969,-77.201138
NRG,NRG Energy,Utilities,"Princeton, New Jersey",Princeton,New Jersey,NJ,40.3492744,-74.6592958
NUE,Nucor Corp.,Materials,"Charlotte, North Carolina",Charlotte,North Carolina,NC,35.2272086,-80.8430827
NVDA,Nvidia Corporation,Information Technology,"Santa Clara, California",Santa Clara,California,CA,37.2333253,-121.6846349
ORLY,O'Reilly Automotive,Consumer Discretionary,"Springfield, Missouri",Springfield,Missouri,MO,37.2166779,-93.2920373
OXY,Occidental Petroleum,Energy,"Los Angeles, California",Los Angeles,California,CA,34.0536909,-118.242766
OMC,Omnicom Group,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
OKE,ONEOK,Energy,"Tulsa, Oklahoma",Tulsa,Oklahoma,OK,36.1556805,-95.9929113
ORCL,Oracle Corp.,Information Technology,"Redwood Shores, California",Redwood Shores,California,CA,37.5318804,-122.2480219
PCAR,PACCAR Inc.,Industrials,"Bellevue, Washington",Bellevue,Washington,WA,47.6144219,-122.192337
PH,Parker-Hannifin,Industrials,"Cleveland, Ohio",Cleveland,Ohio,OH,41.4996562,-81.6936813
PDCO,Patterson Companies,Health Care,"St. Paul, Minnesota",St. Paul,Minnesota,MN,44.9497487,-93.0931028
PAYX,Paychex Inc.,Information Technology,"Penfield, New York",Penfield,New York,NY,43.1301133,-77.4759588
PYPL,PayPal,Information Technology,"San Jose, California",San Jose,California,CA,37.3361663,-121.890591
PBCT,People's United Financial,Financials,"Bridgeport, Connecticut",Bridgeport,Connecticut,CT,41.1670412,-73.2048348
PEP,PepsiCo Inc.,Consumer Staples,"Purchase, New York",Purchase,New York,NY,41.0409305,-73.7145746
PKI,PerkinElmer,Health Care,"Waltham, Massachusetts",Waltham,Massachusetts,MA,42.3756401,-71.2358004
PFE,Pfizer Inc.,Health Care,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
PCG,PG&E Corp.,Utilities,"San Francisco, California",San Francisco,California,CA,37.7790262,-122.419906
PM,Philip Morris International,Consumer Staples,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
PSX,Phillips 66,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
PNW,Pinnacle West Capital,Utilities,"Phoenix, Arizona",Phoenix,Arizona,AZ,33.4484367,-112.074141
PXD,Pioneer Natural Resources,Energy,"Irving, Texas",Irving,Texas,TX,32.8295183,-96.9442177
PBI,Pitney-Bowes,Industrials,"Stamford, Connecticut",Stamford,Connecticut,CT,41.0534302,-73.5387341
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,PA,40.4416941,-79.9900861
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,PA,40.4416941,-79.9900861
PPL,PPL Corp.,Utilities,"Allentown, Pennsylvania",Allentown,Pennsylvania,PA,40.6022059,-75.4712794
PX,Praxair Inc.,Materials,"Danbury, Connecticut",Danbury,Connecticut,CT,41.394817,-73.4540111
PCLN,Priceline.com Inc,Consumer Discretionary,"Norwalk, Connecticut",Norwalk,Connecticut,CT,41.1175966,-73.4078968
PFG,Principal Financial Group,Financials,"Des Moines, Iowa",Des Moines,Iowa,IA,41.5910323,-93.6046655
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",Cincinnati,Ohio,OH,39.1014537,-84.5124602
PGR,Progressive Corp.,Financials,"Mayfield Village, Ohio",Mayfield Village,Ohio,OH,41.5595437,-81.4439274
PLD,Prologis,Real Estate,"San Francisco, California",San Francisco,California,CA,37.7790262,-122.419906
PRU,Prudential Financial,Financials,"Newark, New Jersey",Newark,New Jersey,NJ,40.735657,-74.1723667
PEG,Public Serv. Enterprise Inc.,Utilities,"Newark, New Jersey",Newark,New Jersey,NJ,40.735657,-74.1723667
PSA,Public Storage,Real Estate,"Glendale, California",Glendale,California,CA,34.1469416,-118.2478471
PHM,Pulte Homes Inc.,Consumer Discretionary,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
PVH,PVH Corp.,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
QRVO,Qorvo,Information Technology,"Greensboro, North Carolina",Greensboro,North Carolina,NC,36.0726355,-79.7919754
QCOM,QUALCOMM Inc.,Information Technology,"San Diego, California",San Diego,California,CA,32.7174202,-117.1627728
PWR,Quanta Services Inc.,Industrials,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
DGX,Quest Diagnostics,Health Care,"Madison, New Jersey",Madison,New Jersey,NJ,40.7598227,-74.417097
RRC,Range Resources Corp.,Energy,"Fort Worth, Texas",Fort Worth,Texas,TX,32.753177,-97.3327459
RTN,Raytheon Co.,Industrials,"Waltham, Massachusetts",Waltham,Massachusetts,MA,42.3756401,-71.2358004
O,Realty Income Corporation,Real Estate,"San Diego, California",San Diego,California,CA,32.7174202,-117.1627728
RHT,Red Hat Inc.,Information Technology,"Raleigh, North Carolina",Raleigh,North Carolina,NC,35.7803977,-78.6390989
REGN,Regeneron,Health Care,"Tarrytown, New York",Tarrytown,New York,NY,41.0762077,-73.8587461
RF,Regions Financial Corp.,Financials,"Birmingham, Alabama",Birmingham,Alabama,AL,33.5206824,-86.8024326
